,sample
316,MIR4706
317,RP11-146D12.5
318,MIR4700
319,MIR4701
320,RP3-523C21.2
321,MIR4703
322,ZNF736P3Y
323,RP11-3L10.2
324,AC133104.2
325,RP11-713D19.1
326,SBF1P1
327,RP11-351I21.7
328,RP11-351I21.6
329,RP11-542K23.10
330,AC234917.1
331,VMP1
332,PPIAP9
333,PPIAP6
334,PPIAP7
335,PPIAP1
336,PPIAP2
337,PPIAP3
338,AC002551.1
339,NR1D1
340,NR1D2
341,RNU6-471P
342,RNU6-356P
343,RP11-162P23.2
344,BTG3P1
345,RP11-380D23.2
346,RP11-380D23.1
347,OGFR
348,RPS26P43
349,RP11-335O13.8
350,AC003973.3
351,RPS26P49
352,RP11-335O13.7
353,AL591415.1
354,CTD-2620I22.1
355,CH17-472G23.1
356,RP11-816J6.3
357,PTCH2
358,PTCH1
359,AOAH-IT1
360,TIMM44
361,AC137055.1
362,RAD9B
363,RAD9A
364,ERGIC2
365,ERGIC3
366,VN2R10P
367,ERGIC1
368,MIR3165
369,RP11-291L19.1
370,MIR3167
371,MIR3166
372,MIR3161
373,MIR3163
374,MIR3162
375,B3GAT3
376,B3GAT2
377,B3GAT1
378,MIR3169
379,MIR3168
380,RP11-150D5.2
381,RNU6-238P
382,CALM2
383,CALM3
384,SPG21
385,SPG20
386,RP11-357N13.1
387,GSDMA
388,GSDMB
389,GSDMC
390,GSDMD
391,UPK1A
392,UPK1B
393,RP11-357N13.6
394,DLGAP2
395,DLGAP3
396,AC023310.1
397,DLGAP1
398,DLGAP4
399,DLGAP5
400,KB-1507C5.4
401,RP11-428C19.4
402,RP11-554D14.1
403,RP11-554D14.7
404,RP11-554D14.6
405,RP11-554D14.5
406,FBXL14
407,RP5-881P19.7
408,OIP5
409,MIR502
410,RP11-215I16.2
411,RNU1-134P
412,AL157392.1
413,RP11-1081L13.3
414,FAM169A
415,INO80B-WBP1
416,AL603650.1
417,RNU6-603P
418,AL603650.3
419,AL603650.2
420,AL603650.5
421,AL603650.4
422,MIR506
423,AC138645.1
424,PTPN18
425,LRRFIP2
426,AC063980.3
427,PTPN13
428,PTPN12
429,PTPN11
430,RPL32P35
431,RP11-1028N23.3
432,RPL32P33
433,RNU6-960P
434,PTPN14
435,XXyac-YM21GA2.3
436,LYAR
437,KB-1043D8.8
438,RP11-716O23.1
439,AC002465.2
440,RP11-379C10.4
441,AC138035.2
442,AC138035.3
443,RP11-151H2.3
444,RP11-123C21.2
445,RP11-123C21.3
446,RP11-123C21.1
447,AC008060.8
448,RN7SL618P
449,C2orf81
450,C2orf80
451,C2orf83
452,C2orf82
453,RP11-192H6.2
454,SNORA84
455,FAM210CP
456,C2orf88
457,RP11-415A20.1
458,RP11-556H2.4
459,CTD-2230M5.1
460,CTD-2230M5.3
461,TRAPPC6A
462,RP11-556H2.3
463,MZB1
464,TRAPPC6B
465,RNU4-56P
466,CYP3A54P
467,CDK3
468,HLA-DQB1
469,MSMB
470,HLA-DQB3
471,HLA-DQB2
472,RP11-415K20.2
473,HSPE1P16
474,HSPE1P14
475,HSPE1P12
476,RPL23AP29
477,HSPE1P10
478,HSPE1P11
479,RP11-51L5.7
480,RP11-51L5.5
481,CDK7
482,RP11-51L5.3
483,RP11-51L5.2
484,FOXS1
485,IQCF5-AS1
486,RPL23AP27
487,CTC-360P9.4
488,CTC-360P9.5
489,CTC-360P9.2
490,HAPLN4
491,CTD-2267G17.2
492,AC008060.5
493,RP11-155N3.4
494,RP11-411H5.1
495,HMGB3P3
496,RPL23AP23
497,MIR4312
498,AL357060.1
499,RP4-706G24.1
500,NDUFA3P3
501,CAMKK2
502,CAMKK1
503,RP11-255L13.1
504,MYDGF
505,RPL23AP21
506,NDUFA3P4
507,PPP1R1AP2
508,HMGN2P31
509,RP11-409K20.6
510,RP11-409K20.7
511,RNU6-938P
512,RP11-863H1.1
513,U47924.27
514,TTTY25P
515,CHMP3
516,RPL36AL
517,RP11-128B16.3
518,CHMP7
519,CHMP6
520,CHMP5
521,HNRNPCP8
522,OR52N4
523,OR52N5
524,OR52N2
525,AC005757.6
526,RNU7-140P
527,OR52N1
528,NCLP2
529,SPDYE12P
530,LY6G6C
531,HOXA13
532,LY6G6E
533,HOXA11
534,RN7SL253P
535,RN7SL320P
536,LIPT1P1
537,GTF2I
538,COX4I1P1
539,COX4I1P2
540,GALNTL5
541,RPS4XP2
542,GALNTL6
543,RP11-338E21.2
544,RP11-338E21.3
545,RP13-258O15.1
546,RNU6-1092P
547,RP11-76N22.1
548,AC004837.4
549,RP11-442O18.1
550,RP11-442O18.2
551,HNRNPCP2
552,RP11-756H6.1
553,SLC25A24P1
554,CTD-2547G23.4
555,TDH
556,SLC25A24P2
557,CTD-2547G23.2
558,KRTAP11-1
559,TDG
560,SCAMP1-AS1
561,HN1
562,RNU6-1329P
563,AC010874.1
564,RP1-59D14.8
565,AP001468.58
566,GOLGA8IP
567,RP11-274M17.1
568,RP11-10C24.3
569,LRRC27
570,LRRC26
571,LRRC25
572,LRRC24
573,LRRC23
574,MPDU1
575,RP11-365D23.4
576,MTHFD2P4
577,CTD-3126B10.1
578,LRRC29
579,LRRC28
580,GCNT4
581,GCNT7
582,GCNT6
583,GCNT1
584,AC010132.11
585,GCNT3
586,GCNT2
587,RP11-115H13.1
588,AC010132.10
589,AC144450.1
590,LPCAT4
591,LPCAT2
592,LPCAT3
593,RPL35AP
594,LPCAT1
595,NDUFB11P1
596,RNU6-1021P
597,RP11-134C1.1
598,RP11-129J12.1
599,AC090286.2
600,RP11-227H4.1
601,RP11-227H4.5
602,RP11-48L13.1
603,RP11-498M5.2
604,TAGLN
605,CCDC178
606,DLEC1
607,ALPP
608,RP11-357H14.16
609,RP11-357H14.17
610,MIR513B
611,MIR513C
612,CCDC170
613,CCDC171
614,CCDC172
615,CCDC173
616,CCDC174
