,sample
4496,HSD11B2
4497,FAM27L
4498,SNRPGP1
4499,HSD11B1
4500,AC124057.5
4501,ISYNA1
4502,GTF2H3
4503,GTF2H2
4504,GTF2H1
4505,GTF2H5
4506,GTF2H4
4507,RP4-682C21.5
4508,ERVH-1
4509,BTF3P9
4510,RPS12P24
4511,RP4-682C21.2
4512,ALDH1B1
4513,BTF3P4
4514,BTF3P7
4515,BTF3P6
4516,LL22NC03-N95F10.1
4517,COX7A2L
4518,RP3-332B22.1
4519,GNAS-AS1_2
4520,RP11-42I10.1
4521,GNAS-AS1_1
4522,GNAS-AS1_4
4523,GNAS-AS1_5
4524,RP11-42I10.3
4525,SMARCC2
4526,SMARCC1
4527,RYK
4528,IGHV1-3
4529,RP11-73G16.2
4530,RP11-65E10.1
4531,MIR630
4532,VN1R37P
4533,FREM2-AS1
4534,RP11-745H7.1
4535,RP13-463N16.6
4536,IFNW1
4537,BLOC1S6
4538,LHX2
4539,LHX3
4540,LHX4
4541,LHX5
4542,LHX6
4543,RP5-859M6.1
4544,LHX8
4545,LHX9
4546,MAMDC2-AS1
4547,LINC00322
4548,RP11-762L8.6
4549,RP11-361I14.2
4550,LINC00323
4551,ISX-AS1
4552,RP5-894A10.2
4553,AC020956.3
4554,NADK2
4555,SLC38A5
4556,SLC38A4
4557,SLC38A7
4558,SLC38A6
4559,SLC38A1
4560,RP11-203P23.2
4561,SLC38A3
4562,SLC38A2
4563,RP3-402G11.28
4564,RP11-383G10.5
4565,SLC38A9
4566,SLC38A8
4567,RP11-383G10.1
4568,RP11-820I16.4
4569,AC226119.5
4570,RP11-820I16.1
4571,RP11-820I16.2
4572,OCA2
4573,RP11-1396O13.22
4574,AL356739.1
4575,RP4-644L1.2
4576,AC016696.1
4577,MIR4508
4578,Pinc
4579,RN7SKP196
4580,RP11-489M13.1
4581,RP11-489M13.2
4582,RP11-489M13.3
4583,RP5-898I4.1
4584,AC011366.3
4585,AP000560.1
4586,AP000560.3
4587,MIR325HG
4588,YBX1
4589,YBX3
4590,YBX2
4591,RP1-293L8.2
4592,RP3-431C21.1
4593,AC090154.1
4594,CTD-2024I7.13
4595,RNA5SP178
4596,RNA5SP179
4597,RNA5SP174
4598,RNA5SP175
4599,STIP1
4600,RNA5SP177
4601,RNA5SP170
4602,RNA5SP171
4603,RNA5SP172
4604,RNA5SP173
4605,CHIC2
4606,RP11-526H11.1
4607,CHIC1
4608,AC004471.10
4609,POM121L4P
4610,RNU6-203P
4611,AP000949.1
4612,TRBV21-1
4613,AL161668.5
4614,CTC-273B12.5
4615,CTC-273B12.7
4616,RP11-214K3.24
4617,RP11-102C16.3
4618,RNU6-700P
4619,AC004980.10
4620,RPL5P1
4621,MIR551B
4622,RPL5P3
4623,RPL5P2
4624,RPL5P5
4625,RPL5P4
4626,RPL5P7
4627,RPL5P6
4628,RPL5P9
4629,RPL5P8
4630,MIR4784
4631,RNU6-581P
4632,CH507-39O4.1
4633,RP11-34P13.9
4634,RP4-635G19.1
4635,RP11-819M15.2
4636,RPL36P16
4637,RPL36P18
4638,RPL36P19
4639,AC009134.1
4640,RP11-318M2.3
4641,AC004870.5
4642,AC004870.4
4643,RP11-88I21.2
4644,RP11-114N19.5
4645,AC004870.3
4646,TYRL
4647,VSNL1
4648,SDCCAG8
4649,SDCCAG3
4650,RP11-294J22.6
4651,CH507-39O4.3
4652,RP11-662G23.1
4653,RP11-294J22.5
4654,CTD-2298J14.2
4655,CDIPT
4656,NCOA2
4657,NCOA3
4658,NCOA1
4659,NCOA6
4660,NCOA7
4661,TMEM9B-AS1
4662,NCOA5
4663,RP11-100E13.1
4664,RP11-100E13.3
4665,RP11-385N23.1
4666,VN1R81P
4667,CISH
4668,RNU6-635P
4669,RP11-777J24.1
4670,RNU1-117P
4671,AP003471.1
4672,RIF1
4673,CTD-2231E14.5
4674,MIR6824
4675,PFN1P12
4676,PRDM14
4677,RP11-168L22.2
4678,PFN1P10
4679,STARD3NL
4680,RP11-187C18.5
4681,SREK1
4682,ERO1L
4683,AC005105.2
4684,GTF2IRD1P1
4685,ANAPC1P1
4686,RNU6-1103P
4687,RP11-498C9.15
4688,CTD-2195M15.3
4689,SLC22A31
4690,PES1P2
4691,CDIP1
4692,SMARCAD1
4693,AP1S1
4694,AC008074.5
4695,CTD-2201E18.3
4696,CTD-2201E18.1
4697,AC008074.1
4698,AC008074.3
4699,CTD-2201E18.5
4700,RP11-498C9.16
4701,ZNF497
4702,ZNF496
4703,ERF
4704,ERG
4705,ZNF493
4706,CBLL1
4707,HAND2
4708,ZNF490
4709,IGHVII-60-1
4710,ERH
4711,RN7SL240P
4712,AC087762.1
4713,RGAG4
4714,RP11-159G9.5
4715,AC091133.1
4716,RP11-171I2.3
4717,RP4-735C1.6
4718,RP11-519G16.3
4719,RP11-519G16.2
4720,RP11-519G16.5
4721,MTRNR2L9
4722,MTRNR2L8
4723,RP11-481H12.1
4724,NDNL2
4725,MTRNR2L3
4726,MTRNR2L2
4727,MTRNR2L1
4728,MTRNR2L7
4729,MTRNR2L6
4730,MTRNR2L5
4731,MTRNR2L4
4732,RNU6-380P
4733,RP11-385F5.4
4734,RP11-385F5.5
4735,NLGN4Y
4736,NLGN4X
4737,NCR3
4738,NCR2
4739,NCR1
4740,FBN1
4741,STARD4-AS1
4742,SUGT1P
4743,HIF1A-AS2
4744,AOAH
4745,AC016723.4
4746,RP3-512B11.3
4747,RP11-528N21.1
4748,CTD-2410N18.5
4749,SCN1B
4750,SCN1A
4751,RP3-377H17.2
4752,EEPD1
4753,RP11-644C3.1
4754,FRYL
4755,DEXI
4756,FUOM
4757,IDI1
4758,IDI2
4759,RNU6-286P
4760,LLNLR-246C6.1
4761,RP11-197N18.8
4762,RP11-1267H10.2
4763,RP11-213N20.1
4764,TMEM185B
4765,TMEM185A
4766,RNU6-1147P
4767,UBXN10
4768,UBXN11
4769,RP11-66C24.1
4770,RNU6-829P
4771,SNORD12C
4772,SNORD12B
4773,POTEM
4774,RP11-255M2.3
4775,RP11-600L4.1
4776,RP11-575F12.2
4777,RP11-575F12.3
4778,RP11-575F12.1
4779,RP5-827L5.1
4780,MIR4788
4781,RP5-827L5.2
4782,RP11-323H21.3
4783,LRRC75A-AS1
4784,RAB42P1
4785,AC010883.5
4786,SFTA1P
4787,IZUMO1R
4788,FCHSD1
4789,FCHSD2
4790,AC108066.1
4791,RP11-350D23.4
4792,SNORD123
4793,RNU6-783P
4794,OR10G5P
4795,SNORD127
4796,AC016732.2
4797,SNORD125
4798,SNORD124
4799,RP11-12G12.7
4800,RP11-163O19.8
4801,RP11-163O19.3
4802,HIGD2A
4803,HIGD2B
4804,TRAIP
4805,POTEB
4806,RP11-337N6.1
4807,UBA52
4808,DND1
4809,FAM172BP
4810,POTEA
4811,MAN1C1
4812,MESDC1
4813,MESDC2
4814,RP11-497D6.3
4815,NOBOX
4816,RN7SL494P
4817,RPS3AP54
4818,THRAP3P1
4819,AC013476.1
4820,RP11-229P13.2
4821,RPS3AP50
4822,ENO1-IT1
4823,RPS3AP52
4824,RPS3AP53
4825,SRGAP2D
4826,RP11-44N11.2
4827,RNU6-874P
4828,AC021205.2
4829,AC021205.1
4830,LINC01327
4831,NID2
4832,NID1
4833,LINC01324
4834,LINC01323
4835,LINC01322
4836,RN7SL689P
4837,LINC01320
4838,OR5B3
4839,DLGAP1-AS1
4840,DLGAP1-AS2
4841,IGLV2-33
4842,AC062020.2
4843,DLGAP1-AS5
4844,AC062020.1
4845,AC096559.1
4846,AC006926.1
4847,RP5-978I12.1
4848,AC007318.5
4849,PGCP1
4850,AC104581.1
4851,RP11-1049H7.2
4852,RP11-748L13.7
4853,FCER1A
4854,RP11-748L13.2
4855,SOSTDC1
4856,RP11-473J6.1
4857,RP11-64C12.8
4858,CTD-2015H3.1
4859,RP11-176D17.3
4860,RNU7-62P
4861,RP11-49O14.2
4862,RP11-49O14.3
4863,AC130709.1
4864,RP11-650J17.2
4865,RP11-650J17.1
4866,AC104637.1
4867,RNU6-1235P
4868,RP11-1000B6.5
4869,RP11-1000B6.7
4870,PAXIP1-AS1
4871,PAXIP1-AS2
4872,RP11-1000B6.2
4873,AC002979.1
4874,TTC39A-AS1
4875,RP11-1000B6.8
4876,SSSCA1-AS1
4877,OR4D9
4878,NEK2P4
4879,NEK2P2
4880,DAW1
4881,TSPY23P
4882,OR4D1
4883,OR4D2
4884,RP11-449P1.1
4885,OR4D5
4886,OR4D6
4887,RP11-64C12.4
4888,FANCG
4889,FANCF
4890,FANCE
4891,FANCC
4892,FANCB
4893,FANCA
4894,HNRNPAB
4895,FANCM
4896,FANCL
4897,FANCI
4898,RP11-1167A19.2
4899,HNRNPA1P42
4900,CA5B
4901,CA5A
4902,HNRNPA1P41
4903,HNRNPA1P46
4904,HNRNPA1P47
4905,HNRNPA1P44
4906,HNRNPA1P45
4907,F13B
4908,HNRNPA3
4909,HNRNPA0
4910,HNRNPA1
4911,ADGRD2
4912,ADGRD1
4913,RP11-526F3.1
4914,CTB-31C7.3
4915,KRTAP4-16P
4916,ZFAT-AS1
4917,AC009963.5
4918,RP11-348J24.1
4919,TYW1B
4920,RP11-90E9.1
4921,RP11-50B3.4
4922,RP11-50B3.2
4923,RP11-50B3.1
4924,RP11-293I14.2
4925,AL356479.1
4926,HOXA7
4927,HOXA6
4928,HOXA5
4929,HOXA4
4930,HOXA3
4931,HOXA2
4932,HOXA1
4933,IGLL1
4934,IGLL5
4935,AC092755.4
4936,HOXA9
4937,MIR663B
4938,MIR663A
4939,FAM188A
4940,FAM188B
4941,CEP55
4942,PRSS3P4
4943,RNU6-722P
4944,CST2P1
4945,SLC25A5P2
4946,CTD-2183H9.3
4947,SLC25A5P3
4948,CTD-2183H9.7
4949,RN7SL341P
4950,SLC25A5P4
4951,RP11-302B13.5
4952,FUT5
4953,RP11-302B13.1
4954,B9D2
4955,HSPD1
4956,RP1-56K13.6
4957,MTX3
4958,MTX2
4959,MTX1
4960,SLC25A5P7
4961,PNMT
4962,AC007241.1
4963,RP11-411K7.1
4964,LIAS
4965,RP11-104F15.9
4966,ATP10A
4967,ATP10B
4968,ATP10D
4969,RN7SL531P
4970,RNU4-33P
4971,AP000358.5
4972,KRIT1
4973,TRABD2A
4974,RP11-149F8.5
4975,RP11-149F8.4
4976,RP11-149F8.3
4977,CDPF1
4978,AC215524.1
4979,LLNLF-173C4.1
4980,ST13P21
4981,SLC6A20
4982,RP11-333A23.1
4983,RP11-505P4.5
4984,RP11-505P4.7
4985,RP11-505P4.6
4986,SCRIB
4987,TYMS
4988,TYMP
4989,XXbac-BPG55C20.7
4990,RN7SL181P
4991,LL22NC03-22A12.9
4992,WWP2
4993,WWP1
4994,AC195454.1
4995,RP11-220I1.5
4996,DAPL1
4997,AC007255.8
4998,TPI1
4999,LINC00958
5000,CTC-297N7.7
5001,CYP4A44P
5002,RP11-220I1.2
5003,RP11-333A23.3
5004,RNU6-1046P
5005,RP11-24P24.1
5006,AF212831.2
5007,PRTN3
5008,CTSH
5009,CTSK
5010,CTSL
5011,CTSO
5012,CTSA
5013,CTSB
5014,CTSC
5015,CTSD
5016,CTSE
5017,CTSF
5018,CTSG
5019,RP5-998N21.10
5020,CTSZ
5021,RNU6-138P
5022,AC002389.1
5023,RPS6P2
5024,CTSS
5025,AL137118.1
5026,CTSV
5027,CTSW
5028,LGALS17A
5029,NFIB
5030,RP11-408N14.1
5031,RP3-414A15.10
5032,RP3-414A15.11
5033,RP3-414A15.12
5034,INCA1
5035,OFD1P18Y
5036,AC064848.1
5037,OR7E108P
5038,EEF1A1P34
5039,HMGB1P36
5040,HMGB1P37
5041,EEF1A1P31
5042,HMGB1P31
5043,HMGB1P32
5044,AMMECR1
5045,RNU6-1282P
5046,EEF1A1P39
5047,HMGB1P39
5048,RP11-705O24.3
5049,RP11-705O24.2
5050,RP11-308N19.3
5051,EMD
5052,RP11-308N19.1
5053,MTND5P19
5054,MTND5P18
5055,RP11-308N19.5
5056,EMB
5057,MTND5P15
5058,MTND5P14
5059,MTND5P17
5060,TAB3P1
5061,AC007919.18
5062,AC007919.19
5063,MTND5P13
5064,GJC3
5065,RP11-148O7.2
5066,CTD-2655K5.1
5067,AC090958.5
5068,AC012368.1
5069,LINC00637
5070,ZNF826P
5071,RP11-777F6.3
5072,AFF4
5073,AFF3
5074,AFF2
5075,AFF1
5076,RP11-182B22.2
5077,RP6-191P20.5
5078,PDPR
5079,AL132875.1
5080,AC009506.1
5081,AC009506.2
5082,AC107399.2
5083,AC107399.1
5084,CTC-218H9.1
5085,IGHD3OR15-3B
5086,KIAA0195
5087,KIAA0196
5088,IGHD3OR15-3A
5089,UBA6
5090,PDP1
5091,PDP2
5092,UBA5
5093,UBA2
5094,UBA3
5095,UBA1
5096,RP11-655G22.1
5097,PHF24
5098,PWP1
5099,RP11-655G22.2
5100,PHF20
5101,PHF23
5102,RP11-413B19.2
5103,RP3-431A14.4
5104,RP11-344A5.1
5105,TAGAP
5106,ZNF519P4
5107,UBE2D3P3
5108,UBE2D3P2
5109,UBE2D3P1
5110,RP11-109M19.5
5111,UBE2D3P4
5112,RP11-575H3.1
5113,TTLL10-AS1
5114,CTD-2626G11.2
5115,RPAIN
5116,RP11-541G9.1
5117,RP11-541G9.2
5118,RP11-111E14.1
5119,CTD-2349P21.9
5120,RP11-111E14.2
5121,RP1-118J21.5
5122,CTD-2349P21.1
5123,ZNF519P2
5124,CTD-2349P21.5
5125,RPRML
5126,CTD-2349P21.7
5127,CTC-273B12.10
5128,CPXM1
5129,PNO1
5130,CPXM2
5131,RP11-602M11.4
5132,AC108938.3
5133,AC017028.10
5134,PENK
5135,ZIM2
5136,ZIM3
5137,AL158154.2
5138,RP11-680F20.12
5139,RP11-941H19.1
5140,RP11-941H19.2
5141,RP11-941H19.3
5142,RP11-754I20.1
5143,AC010518.2
5144,RP11-754I20.3
5145,RP11-72I18.1
5146,AL139042.1
5147,OR4K8P
5148,AC009518.4
5149,GPR65
5150,GPR62
5151,GPR63
5152,XXyac-YX60D10.1
5153,GPR61
5154,PNOC
5155,RP11-618M23.3
5156,INE1
5157,AC009518.8
5158,GPR68
5159,MIR4644
5160,AL158154.1
5161,PRKXP1
5162,RNU6-724P
5163,MIR4646
5164,RPL6P29
5165,MTCO3P2
5166,MTCO3P1
5167,RPL6P25
5168,RPL6P27
5169,RPL6P21
5170,TDGF1
5171,RP1-249H1.3
5172,GNS
5173,ATP5L2
5174,RPAP2
5175,AC008622.1
5176,JARID2
5177,AC143336.1
5178,RNU6-197P
5179,GNE
5180,RPAP1
5181,RP11-24D15.1
5182,RP11-455B3.1
5183,AC005828.1
5184,CTD-2560E9.5
5185,AC087392.1
5186,TMEM35
5187,TMEM37
5188,TMEM31
5189,TMEM33
5190,RP11-664D1.1
5191,RP11-643G5.7
5192,NT5C1B
5193,NT5C1A
5194,AC132192.1
5195,OTOP1
5196,OTOP3
5197,OTOP2
5198,RP11-643G5.2
5199,RNU4-7P
5200,RP11-207C16.4
5201,RN7SL209P
5202,SETP6
5203,AP000318.2
5204,LINC00560
5205,CTD-2116N24.1
5206,OR14J1
5207,RP11-191F9.3
5208,RPL23AP7
5209,RP11-191F9.4
5210,POGK
5211,C10orf105
5212,C10orf107
5213,SDS
5214,RP11-353N14.7
5215,RP11-353N14.4
5216,PDPK2P
5217,RP11-353N14.2
5218,RP11-353N14.3
5219,ANO10
5220,RP11-353N14.1
5221,POGZ
5222,ACRC
5223,RP11-70L8.5
5224,PRUNE2
5225,RP11-403E24.1
5226,RP4-756H11.3
5227,RNU6-619P
5228,RP4-756H11.5
5229,RP4-756H11.4
5230,AC012354.8
5231,RNU6-135P
5232,PEX11G
5233,NRCAM
5234,RP11-501C14.6
5235,RNU7-95P
5236,RN7SL45P
5237,RP3-368A4.5
5238,PNLIP
5239,RP11-501C14.5
5240,RP13-631K18.2
5241,RP13-631K18.3
5242,CXorf58
5243,RP13-379O24.2
5244,RP13-379O24.3
5245,RLIMP2
5246,CXorf56
5247,CXorf57
5248,LYZ
5249,AC067742.1
5250,CTD-2561J22.1
5251,C9orf147
5252,CH17-140K24.6
5253,AC020626.1
5254,RP5-919F19.5
5255,AL512640.1
5256,LYN
5257,AC025678.1
5258,PRH2
5259,GS1-358P8.4
5260,PRH1
5261,RP11-182I10.1
5262,AC011513.4
5263,AC011513.3
5264,RP11-328C8.2
5265,LY9
5266,RN7SL863P
5267,RP11-286M16.1
5268,RP11-16L14.2
5269,RP11-360I2.1
5270,IP6K3
5271,IP6K2
5272,IP6K1
5273,AC104634.3
5274,RP4-594L9.2
5275,NPM1P5
5276,RP11-436F23.1
5277,RP3-330M21.5
5278,DPCR1
5279,AC009263.2
5280,AP000302.58
5281,MYO15A
5282,AL449212.1
5283,RP13-395E19.2
5284,RP11-641C17.1
5285,RP11-641C17.2
5286,RP11-641C17.3
5287,RP11-641C17.4
5288,KATNBL1
5289,NFKBIB
5290,RP11-457I16.2
5291,NFKBIA
5292,NFKBID
5293,NFKBIE
5294,NFKBIZ
5295,ARSFP1
5296,RP4-545C24.1
5297,CTB-52I2.3
5298,AC087499.9
5299,CTB-52I2.4
5300,SDCBP2P1
5301,PLAC1
5302,RNU6-550P
5303,GOLGA8DP
5304,KIAA0100
5305,PLAC4
5306,RP5-1103B4.3
5307,PLAC9
5308,PLAC8
5309,RP11-697M17.2
5310,PRSS33
5311,AC055736.4
5312,PRSS37
5313,PRSS36
5314,NR5A1
5315,RP11-356M6.1
5316,RPGRIP1
5317,DLX5
5318,DLX6
5319,PRSS38
5320,DLX1
5321,DLX2
5322,DLX3
5323,ACVRL1
5324,RP11-967K21.1
5325,TRBV30
5326,CXADRP3
5327,OR5BD1P
5328,CTC-575N7.1
5329,MIR6875
5330,GATAD1
5331,PDGFC
5332,VAV1
5333,VAV3
5334,VAV2
5335,RNU6-8
5336,RNU6-9
5337,RNU6-7
5338,RNU6-1
5339,RNU6-2
5340,RP11-736P16.1
5341,MIR1272
5342,RP11-519C12.1
5343,OR7E115P
5344,MIR1271
5345,FOXN4
5346,RNU7-84P
5347,RP5-1114G22.2
5348,RP5-1114G22.1
5349,RNU6-790P
5350,RP5-865N13.1
5351,AC138304.1
5352,RP5-865N13.2
5353,RP11-254I22.1
5354,IGHV3OR16-7
5355,TP63
5356,NR6A1
5357,MIR6511B1
5358,MARS2
5359,SMAD5-AS1
5360,RNU6-322P
5361,OR2A3P
5362,MIR4435-2HG
5363,RN7SL343P
5364,RP11-157E16.1
5365,RP11-774G5.1
5366,CACTIN-AS1
5367,RP11-325I22.3
5368,DAP3P1
5369,DAP3P2
5370,PYGO1
5371,PYGO2
5372,RP11-689C9.1
5373,AL356585.2
5374,OR2B8P
5375,RP6-166C19.20
5376,RP6-166C19.21
5377,CRHBP
5378,RP6-166C19.23
5379,FERMT2
5380,FERMT3
5381,RNU6-738P
5382,FERMT1
5383,OR7E148P
5384,RPL3P2
5385,RPL3P1
5386,CTC-465D4.1
5387,CRNKL1
5388,RPL3P9
5389,RPL3P8
5390,HCG18
5391,RP11-58O9.2
5392,WWTR1
5393,HCG15
5394,SYNGR3
5395,WDR90
5396,RP11-115C21.2
5397,SYNGR4
5398,TMPOP1
5399,TMPOP2
5400,RP11-359P5.1
5401,LINC00293
5402,RP11-325I22.1
5403,CTB-37A13.1
5404,OR52B3P
5405,AC092635.1
5406,RP3-443C4.2
5407,PRPH2
5408,CTC-329D1.2
5409,RP11-640I2.1
5410,RN7SL515P
5411,RP11-308B5.2
5412,HMGB3P26
5413,MIR1324
5414,RP11-477N3.1
5415,C9orf62
5416,C9orf66
5417,C9orf64
5418,RP11-118E9.1
5419,RP11-511B23.1
5420,USP6NL
5421,C9orf69
5422,RP11-511B23.4
5423,MEMO1P1
5424,RABGEF1
5425,KLHDC8A
5426,CTC-774J1.1
5427,RP11-108P20.2
5428,RP4-782L23.2
5429,RP4-782L23.1
5430,MEMO1P3
5431,AP003385.1
5432,USP12
5433,USP13
5434,USP10
5435,USP11
5436,USP16
5437,IGKV2D-23
5438,USP14
5439,USP15
5440,USP18
5441,USP19
5442,INPP1
5443,RP4-697K14.3
5444,DPYD-AS1
5445,DPYD-AS2
5446,AP003385.2
5447,RLTPR
5448,RPL23AP45
5449,RPL23AP44
5450,RPL23AP47
5451,RPL23AP46
5452,RPL23AP41
5453,RPL23AP40
5454,RPL23AP43
5455,RPL23AP42
5456,CTB-133G6.2
5457,CTB-133G6.1
5458,RPL23AP49
5459,RPL23AP48
5460,TAP1
5461,CRKL
5462,MIR29A
5463,RP11-744N12.3
5464,AC089983.1
5465,CTB-161J7.1
5466,CTB-161J7.2
5467,FAM86FP
5468,RNU6-1331P
5469,IFFO2
5470,UBAC2
5471,CTD-2373H9.5
5472,UBAC1
5473,RP11-787P24.4
5474,RP11-1191J2.5
5475,MT1L
5476,MT1M
5477,SUPT5H
5478,RETN
5479,RP11-533K11.1
5480,RPTN
5481,AC107983.4
5482,LINC00433
5483,SLC35E2B
5484,CSPG4P13
5485,JRKL-AS1
5486,CSPG4P10
5487,VN1R10P
5488,RP11-536C5.7
5489,RP11-358D17.1
5490,MIR4697HG
5491,RP11-536C5.2
5492,MIR4679-1
5493,FXR1
5494,FXR2
5495,AC067957.1
5496,MIR339
5497,AF003625.3
5498,CYP4X1
5499,MIR4509-2
5500,MIR4509-3
5501,MIR4509-1
5502,RP11-358B23.5
5503,RN7SL468P
5504,CTC-492K19.4
5505,CTC-492K19.7
5506,KRT18P34
5507,RNASEH1-AS1
5508,RP11-429K17.1
5509,CTD-2561B21.11
5510,RP11-358B23.6
5511,RHBDD2
5512,RHBDD3
5513,RHBDD1
5514,KLC1
5515,KLC2
5516,KLC3
5517,KLC4
5518,KRT18P39
5519,GPC5-AS1
5520,RPL30P4
5521,RPL30P5
5522,RPL30P6
5523,ARPC5L
5524,RPL30P1
5525,RPL30P2
5526,RPL30P3
5527,RP5-967N21.2
5528,RP5-967N21.7
5529,RPL30P9
5530,RP11-311D14.1
5531,RP11-680E19.1
5532,CTB-47B11.3
5533,CTB-47B11.1
5534,RP4-616B8.5
5535,RP4-616B8.4
5536,RP4-616B8.6
5537,CHCHD2
5538,CHCHD3
5539,CTD-2140G10.4
5540,RPL7A
5541,CHCHD6
5542,CHCHD7
5543,CHCHD4
5544,CHCHD5
5545,AP002518.1
5546,RN7SL221P
5547,RP11-457I16.4
5548,CTD-3244O18.7
5549,OVCA2
5550,ZNF519
5551,NR2E3
5552,ZNF512
5553,ZNF513
5554,ZNF510
5555,ZNF511
5556,ZNF516
5557,ZNF517
5558,ZNF514
5559,RP11-514P8.6
5560,TSPYL4
5561,TSPYL5
5562,TSPYL6
5563,AC091153.4
5564,RP11-465N4.4
5565,TSPYL1
5566,TSPYL2
5567,RP11-758I14.2
5568,RP11-758I14.3
5569,RP11-546B15.1
5570,WT1-AS_7
5571,LINC01424
5572,LINC01425
5573,LINC01426
5574,LINC01427
5575,LINC01420
5576,LINC01422
5577,LINC01423
5578,AL592211.1
5579,RN7SL435P
5580,LINC01428
5581,XIRP1
5582,XIRP2
5583,AC241585.1
5584,RNU6-1066P
5585,CTD-2366F13.1
5586,RP11-181B18.1
5587,RP11-121A13.3
5588,AC003084.2
5589,VWF
5590,RP11-156G14.6
5591,NEAT1_3
5592,KIAA0355
5593,AP001786.1
5594,FAM223A
5595,CTD-2228K2.1
5596,MIR4308
5597,MIR4309
5598,MIR4300
5599,CTD-2228K2.7
5600,MBL3P
5601,MIR4304
5602,RNU6-1247P
5603,MIR4306
5604,MIR4307
5605,ZFY-AS1
5606,CDH17
5607,RNU6-1120P
5608,AC131056.3
5609,AC010646.3
5610,AC010207.1
5611,AC004538.3
5612,CTA-254O6.1
5613,LINC01280
5614,LINC01281
5615,LINC01282
5616,CTD-2270L9.4
5617,LINC01284
5618,LINC01285
5619,LINC01287
5620,LINC01288
5621,LINC01289
5622,RP11-27I1.6
5623,WWC3-AS1
5624,RP11-27I1.4
5625,RP11-866E20.1
5626,RP11-866E20.3
5627,ARHGAP39
5628,AC024571.1
5629,AC104113.3
5630,RP11-57H12.5
5631,RP11-57H12.2
5632,RP11-57H12.3
5633,RP3-404K8.2
5634,NTN1
5635,NTN3
5636,NTN4
5637,NTN5
5638,SI
5639,IFNA21
5640,RNU4-90P
5641,RP11-3D4.4
5642,CTD-2595P9.4
5643,ZBED5-AS1
5644,CTD-2595P9.2
5645,RP11-3D4.2
5646,RP11-3D4.3
5647,B4GALNT4
5648,RN7SL584P
5649,RP11-123K3.4
5650,CTB-40H15.4
5651,B4GALNT1
5652,B4GALNT2
5653,B4GALNT3
5654,RP11-1198D22.1
5655,RP11-123K3.9
5656,MIR3657
5657,MIR3656
5658,MIR3655
5659,LINC00489
5660,LINC00488
5661,MIR3651
5662,MIR3650
5663,NDE1
5664,LINC00484
5665,LINC00487
5666,LINC00486
5667,LINC00483
5668,LINC00482
5669,RP11-1217F2.13
5670,RP11-681N23.1
5671,RP11-1217F2.10
5672,NUDC
5673,RP11-1217F2.15
5674,RP11-672A2.1
5675,DEFA6
5676,DEFA5
5677,DEFA4
5678,DEFA3
5679,RP11-672A2.4
5680,DEFA1
5681,RP11-672A2.6
5682,AC084010.1
5683,NUMBL
5684,NUP210P2
5685,NUP210P3
5686,NUP210P1
5687,AC083760.1
5688,VAC14-AS1
5689,PDCD2L
5690,RN7SL474P
5691,AC103563.3
5692,RN7SL644P
5693,AC096507.1
5694,SEPSECS-AS1
5695,TAS2R12
5696,AC005722.4
5697,NRP1
5698,NRP2
5699,RNU12
5700,AF131216.5
5701,C12orf60
5702,AF131216.1
5703,MIR365B
5704,MIR365A
5705,DNAJB8-AS1
5706,RN7SL186P
5707,RP13-270P17.1
5708,RP13-270P17.3
5709,SPHKAP
5710,MAGED4B
5711,RP11-96C21.2
5712,KB-7G2.9
5713,AC002400.1
5714,GSTA4
5715,GSTA5
5716,PAQR9-AS1
5717,GSTA1
5718,GSTA2
5719,GSTA3
5720,AL132796.1
5721,RP11-25I15.3
5722,RP11-25I15.2
5723,RP11-25I15.1
5724,FKSG66
5725,FKSG63
5726,CDY10P
5727,FKSG61
5728,RPL7L1P9
5729,GLYATL1P1
5730,DYNLT1
5731,CH17-76K2.6
5732,DYNLT3
5733,STRAP
5734,C1orf87
5735,LDHAL6FP
5736,RNF208
5737,RNF207
5738,ARF4P4
5739,AC016597.1
5740,RP11-14I2.2
5741,ARF4P3
5742,STRA8
5743,STRA6
5744,AC017060.1
5745,SIGLEC16
5746,HSPA8P8
5747,SIGLEC14
5748,SIGLEC15
5749,XXbac-BPG34I8.3
5750,DNAJC19P4
5751,SIGLEC10
5752,SIGLEC11
5753,HSPA8P1
5754,DNAJC19P8
5755,HSPA8P3
5756,KIFC2
5757,KIFC3
5758,HSPA8P7
5759,HSPA8P6
5760,AC016727.1
5761,AC016727.3
5762,RPL7L1P4
5763,CH507-236L23.5
5764,SPTLC1P1
5765,NLGN1
5766,SPTLC1P2
5767,SPTLC1P5
5768,SPTLC1P4
5769,SYNPO2
5770,RP11-654F3.1
5771,LINC00453
5772,MIR6777
5773,DMRT1
5774,DMRT2
5775,DMRT3
5776,MIR6773
5777,MIR6772
5778,RP11-197N18.2
5779,RP11-664I21.5
5780,RP11-664I21.6
5781,AC068196.1
5782,PROS1
5783,OR2AF1P
5784,MIR6779
5785,MIR6778
5786,RP1-69M21.2
5787,RP11-154D6.2
5788,SPANXN2
5789,CTD-2227E11.1
5790,CRADD
5791,NCKAP5L
5792,CTD-2534I21.9
5793,RP11-393M18.5
5794,RP11-701B6.1
5795,PLA2G12B
5796,PLA2G12A
5797,RP11-379B18.1
5798,HSBP1L1
5799,MRPS31P1
5800,RP11-5P4.2
5801,RP11-5P4.3
5802,IQCA1
5803,RP11-5P4.1
